Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
ROSADO;;9.76;9.056;8.217;11.389;8.767;10.466;10.213;7.28;9.741;9.116;10.502;6.21;8.951;10.799;11.334;11.037;8.334;12.19;9.193;9.049;11.804;10.067;9.22;9.861;11.233;6.812;9.276;7.586;8.951;10.193;10.709;9.052;8.583;4.133;10.614;7.284;9.281;11.615;10.86;11.731;7.38;12.032;3.0;VALOR
OT.VINOS SIN DOP/IG;;1.733;2.264;1.388;1.782;2.273;1.18;1.541;2.884;2.22;2.05;1.406;2.746;2.184;1.635;1.29;1.428;1.623;1.349;1.747;2.43;1.449;1.117;4.017;1.83;1.355;0.566;0.285;1.842;2.102;2.498;1.764;1.524;1.387;2.439;2.833;2.884;2.4;1.318;1.701;1.518;1.781;1.274;3.0;VALOR
V.DESALCOH.SIN D/I;;1.713;2.17;1.388;1.782;2.273;1.18;1.541;2.617;2.22;2.012;1.406;2.746;2.116;1.635;1.29;1.428;1.623;1.349;1.747;2.344;1.449;0.967;4.017;1.83;1.355;0.566;0.285;1.842;2.102;2.498;1.714;1.524;1.387;2.439;2.833;2.618;2.4;1.318;1.701;1.518;1.781;1.274;4.0;VALOR
BEBIDAS DERIVADAS VI;;38.372;39.901;38.821;38.769;38.439;36.464;38.98;34.832;39.02;38.358;38.814;34.777;37.563;42.898;37.49;40.199;31.19;40.512;41.628;41.478;40.848;37.344;43.295;45.575;35.697;30.493;28.221;14.308;34.91;38.875;38.08;36.467;43.188;30.176;34.84;34.836;41.868;47.559;40.389;46.944;29.523;37.375;1.0;VALOR
VERMOUT;;18.195;20.238;16.746;18.48;18.697;16.785;19.671;9.639;15.729;17.352;19.411;13.174;14.765;21.302;21.224;21.236;14.448;21.223;20.123;17.391;26.128;16.464;11.24;15.396;18.95;22.254;22.135;8.751;19.571;22.112;17.592;15.933;19.761;14.938;11.585;9.64;17.018;25.874;18.599;25.897;11.758;20.995;2.0;VALOR
SANGRIA;;3.523;2.596;3.955;3.023;3.827;4.545;3.562;2.897;4.049;3.308;3.807;3.57;3.115;4.02;3.59;3.803;3.557;3.396;3.624;3.948;6.36;4.716;2.89;2.433;1.691;1.911;2.624;0.822;1.876;2.863;3.993;3.75;3.496;2.941;3.511;2.898;3.568;4.52;5.563;3.508;3.237;3.352;2.0;VALOR
TINTO DE VERANO;;16.844;18.203;17.101;15.986;18.788;15.239;16.248;19.436;19.87;17.244;16.562;22.943;19.218;17.667;13.552;15.615;12.502;16.842;19.683;19.572;12.528;17.515;26.149;25.433;11.166;7.111;5.433;6.083;12.3;13.873;17.568;16.986;19.301;15.381;21.093;19.44;21.121;21.038;17.437;18.069;12.843;13.173;2.0;VALOR
BEB.DERI.SIN ALCOHOL;;12.898;12.78;13.039;12.903;11.924;13.725;12.981;13.914;12.549;12.618;13.45;10.148;12.712;14.356;12.99;13.64;11.343;13.03;13.234;14.397;11.292;11.044;20.597;17.241;11.774;6.763;5.384;3.88;14.289;11.4;13.03;12.093;14.849;9.389;9.948;13.917;14.084;13.788;12.936;15.716;10.262;13.568;2.0;VALOR
CERVEZAS;;85.441;89.171;85.722;85.515;86.298;80.819;85.187;85.436;87.771;86.23;84.527;85.701;84.731;89.148;83.297;86.319;77.794;87.868;88.482;88.488;84.997;87.233;88.858;88.245;83.408;80.232;79.787;77.576;87.593;86.255;85.445;83.393;86.924;78.655;84.911;85.43;89.864;91.565;85.07;91.812;77.906;82.904;1.0;VALOR
CERVEZA CON ALCOHOL;;79.771;84.6;81.488;80.406;80.469;72.582;79.215;81.603;82.489;81.502;77.727;82.287;79.907;83.617;75.982;79.906;70.603;82.569;83.364;83.706;80.163;83.514;83.163;82.072;75.634;73.703;73.167;70.472;80.332;81.946;79.565;77.339;81.72;73.654;80.574;81.598;84.117;87.356;79.085;87.042;71.086;75.586;2.0;VALOR
