Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
PALETA IBE.LONCHA;;101181.865;27369.807999999997;935.12002;4849.30342;4982.2149;1231.278681;15962.4189;16951.262199999997;747.462983;1382.16426;2699.9243699999997;2138.31667;2846.48434;1089.868073;12005.365199999998;1618.99787;650.45554;3721.4219999999996;4.0;VALOR
HUESOS JAMON CURADO;;16180.0713;3014.48775;212.108608;248.220194;1361.7903000000001;446.715655;3403.2045;3921.8685199999995;987.5913670000001;137.49562600000002;545.2164769999999;472.879081;202.911436;118.576743;438.41844000000003;160.382478;291.84963000000005;216.35443600000002;3.0;VALOR
LOMO EMBUCHADO N+IB;;240486.27000000002;30256.856999999996;4692.5705;3643.5296;27200.121;9681.1658;38515.365;46573.025;13752.3093;9196.3808;17202.778000000002;10955.5955;7272.272399999999;1282.34355;11745.6291;824.9223399999998;2289.0641699999996;5402.3273;3.0;VALOR
LOMO EMB.AL CORTE;;87078.712;11759.197100000001;2452.83698;481.42145999999997;11938.9455;4230.7458;8878.0098;17910.0565;5472.5731;2118.11422;6592.1479;3967.0182000000004;3356.383;207.132471;4066.2128000000002;411.379344;1153.2348;2083.29639;4.0;VALOR
LOMO EMB.ENVASADO;;153407.55500000002;18497.660000000003;2239.7336999999998;3162.10813;15261.176200000002;5450.4199;29637.356000000003;28662.964000000004;8279.7356;7078.266799999999;10610.6312;6988.5772;3915.8890999999994;1075.2109100000002;7679.4165;413.54293999999993;1135.82951;3319.0308999999993;4.0;VALOR
LOMO EMB.NORMAL;;146393.2;16760.803;3185.1516999999994;1714.9047000000003;19232.485999999997;7988.6421;22464.959;22600.408;10161.427199999998;4294.9862;12916.918999999998;8242.311199999998;4385.100399999999;945.8876300000001;6127.384899999999;618.19519;1689.88064;3063.7684000000004;4.0;VALOR
LOMO E.N.AL CORTE;;45776.843;3927.9023999999995;1383.80644;164.45764400000002;6899.267499999999;3333.9212799999996;4837.5953;6455.3387;3953.2390999999993;705.5654609999999;4821.266;2819.104700000001;2111.2410400000003;94.605546;2171.6665599999997;271.143092;908.85348;917.8664600000001;5.0;VALOR
LOMO E.N.ENVASADO;;100616.37500000001;12832.899700000002;1801.34519;1550.44693;12333.2187;4654.7208;17627.3623;16145.070099999999;6208.1884;3589.4205000000006;8095.6517;5423.206400000001;2273.85974;851.2821;3955.7184999999995;347.05213;781.02711;2145.9017000000003;5.0;VALOR
LOMO EMB.IBERICO;;94093.049;13496.0555;1507.41895;1928.6251399999999;7967.6358;1692.5236;16050.4077;23972.615;3590.8813200000004;4901.394700000001;4285.860729999999;2713.2840300000003;2887.171414;336.45578;5618.2443;206.72707;599.18356;2338.5592799999995;4.0;VALOR
LOMO E.I.AL CORTE;;41301.865000000005;7831.293700000002;1069.0303669999998;316.96382;5039.6774;896.82442;4040.4142;11454.718099999998;1519.3341799999998;1412.548782;1770.88192;1147.913493;1245.1421919999998;112.526925;1894.5462799999998;140.23626;244.38121999999998;1165.4299999999998;5.0;VALOR
