Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
BEBIDAS ENERGETICA;;15.228;14.377;12.303;22.574;15.994;15.521;16.503;17.435;16.262;9.666;11.594;13.973;11.635;17.405;6.88;17.247;9.547;24.14;4.0;VALOR
OTRAS BEB.REFRESC.;;55.808;51.698;60.237;61.488;53.391;60.141;66.02;52.173;60.406;66.505;51.771;49.329;43.642;48.903;41.965;49.938;40.299;73.276;3.0;VALOR
BEBIDAS ZUMO+LECHE;;26.574;17.303;25.716;28.238;25.899;28.329;37.924;26.012;37.154;42.669;29.279;19.887;19.049;21.336;16.356;23.057;13.458;27.493;4.0;VALOR
BASES PIZZAS&MASAS HO;;67.677;67.108;69.042;64.061;65.424;69.342;70.443;70.865;69.45;78.466;68.517;66.895;62.882;63.599;63.495;63.616;57.832;58.866;1.0;VALOR
ALGAS;;1.952;2.98;2.047;0.95;2.412;3.577;1.536;1.848;1.689;3.659;0.853;0.958;2.7;0.604;2.388;1.519;0.0;1.38;2.0;VALOR
HARINAS Y SEMOLAS;;80.155;79.371;79.703;88.049;77.426;78.725;80.125;77.172;82.839;84.677;80.006;82.692;85.271;77.79;79.538;82.16;81.494;87.018;1.0;VALOR
ENCURTIDOS;;58.787;56.937;75.506;52.704;63.295;73.715;54.039;66.661;65.504;53.402;62.439;35.458;58.101;56.603;62.392;74.263;56.382;45.831;1.0;VALOR
ESPECIAS Y CONDIMENTO;;88.443;87.938;77.134;91.309;90.955;92.2;89.863;88.938;89.035;88.554;88.039;87.395;88.542;80.084;82.38;87.523;83.508;92.124;1.0;VALOR
SAL;;77.374;75.644;78.318;75.685;78.064;76.389;80.266;75.097;79.262;81.994;71.562;77.583;74.886;75.81;79.907;71.963;85.664;78.633;1.0;VALOR
CARAMELOS,CHICLES&GOL;;79.793;77.125;78.982;80.83;81.499;81.338;83.183;76.99;79.977;84.391;79.252;80.17;79.022;85.629;73.781;77.767;80.16;82.885;1.0;VALOR
COMPLEMENTS&DIETETICO;;3.731;5.423;3.498;2.59;4.715;3.372;2.008;3.805;2.606;2.855;2.977;4.211;5.972;5.486;5.631;5.525;1.225;2.033;1.0;VALOR
OTROS PROD.EN PESO;;96.43;96.125;96.087;97.828;97.205;96.967;96.485;96.531;97.328;96.012;96.509;94.156;95.13;95.851;96.308;98.648;95.876;97.166;1.0;VALOR
SNACKS APERITIVOS;;78.723;79.311;78.364;76.128;82.288;79.289;79.552;82.092;86.832;82.517;81.203;70.031;63.657;73.749;69.45;83.568;63.915;76.435;2.0;VALOR
PROTEINAS VEGETALES;;19.815;27.071;21.384;23.617;21.198;18.437;14.837;22.842;13.521;11.548;14.864;17.785;15.848;20.955;19.556;20.492;20.371;18.665;2.0;VALOR
OTROS PROD.EN VOLUMEN;;52.575;59.899;50.21;66.589;56.641;54.584;49.908;51.02;44.433;39.781;45.687;50.868;38.35;52.176;48.755;40.597;49.449;63.747;1.0;VALOR
BEBIDAS VEGETALES;;46.874;55.915;46.913;61.036;52.795;50.493;42.515;46.416;37.422;31.551;37.198;42.623;31.878;48.222;41.554;38.271;44.209;57.622;2.0;VALOR
.T.ALIMENT.ECOLOGICOS;;93.18;94.349;94.685;92.699;91.549;93.382;93.102;92.917;91.675;92.833;93.675;94.84;95.822;89.987;97.423;97.076;94.159;87.049;0.0;VALOR
T.HUEVOS KGS ECO.;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;VALOR
T.HUEVOS UNDS.ECO.;;20.225;25.605;17.058;21.652;16.014;18.719;22.681;18.647;17.902;26.5;18.834;20.332;19.035;24.632;21.865;15.86;25.441;16.827;1.0;VALOR
T.HUEVOS GALLINA ECO;;20.059;25.374;17.032;20.68;16.011;18.719;22.339;18.508;17.902;26.5;18.482;20.223;19.035;24.632;21.865;15.86;26.089;16.827;2.0;VALOR
TOTAL CARNE ECO.;;62.875;67.876;67.555;65.774;59.909;64.064;65.085;62.967;63.137;65.793;66.147;59.362;68.404;57.126;63.627;73.897;57.359;37.274;1.0;VALOR
CARNE FRESCA ECO.;;57.681;63.355;63.389;58.389;54.17;57.779;60.11;58.221;55.904;63.459;61.455;55.291;58.739;45.361;58.631;71.616;55.997;32.245;2.0;VALOR
CARNE CONGELADA ECO.;;6.018;7.257;8.244;2.605;6.783;6.25;7.426;3.852;12.551;7.157;4.863;3.98;6.995;5.955;3.736;6.669;3.564;5.042;2.0;VALOR
CARNE TRANSFORM.ECO.;;22.075;24.683;19.032;24.582;22.462;25.924;21.977;22.711;24.118;14.167;23.921;21.337;27.754;22.448;22.014;18.377;21.418;7.461;2.0;VALOR
TOTAL PESCA ECO.;;30.521;32.016;27.251;23.994;26.651;38.253;33.912;29.077;32.213;34.826;32.858;35.092;34.56;39.846;32.616;33.362;31.247;15.629;1.0;VALOR
